"","from","to","type","subtype"
"2","hsa:383","hsa:4842","ECrel","compound"
"21","hsa:383","hsa:4843","ECrel","compound"
"3","hsa:383","hsa:4846","ECrel","compound"
"5","hsa:383","hsa:2628","ECrel","compound"
"6","hsa:383","hsa:4942","ECrel","compound"
"7","hsa:383","hsa:4953","ECrel","compound"
"8","hsa:384","hsa:4842","ECrel","compound"
"9","hsa:384","hsa:4843","ECrel","compound"
"10","hsa:384","hsa:4846","ECrel","compound"
"12","hsa:384","hsa:2628","ECrel","compound"
"13","hsa:384","hsa:4942","ECrel","compound"
"14","hsa:384","hsa:4953","ECrel","compound"
"15","hsa:2628","hsa:4842","ECrel","compound"
"16","hsa:2628","hsa:4843","ECrel","compound"
"17","hsa:2628","hsa:4846","ECrel","compound"
"28","hsa:217","hsa:57571","ECrel","compound"
"29","hsa:217","hsa:55748","ECrel","compound"
"30","hsa:217","hsa:2628","ECrel","compound"
"31","hsa:219","hsa:57571","ECrel","compound"
"32","hsa:219","hsa:55748","ECrel","compound"
"33","hsa:219","hsa:2628","ECrel","compound"
"34","hsa:223","hsa:57571","ECrel","compound"
"35","hsa:223","hsa:55748","ECrel","compound"
"36","hsa:223","hsa:2628","ECrel","compound"
"37","hsa:224","hsa:57571","ECrel","compound"
"38","hsa:224","hsa:55748","ECrel","compound"
"39","hsa:224","hsa:2628","ECrel","compound"
"40","hsa:501","hsa:57571","ECrel","compound"
"41","hsa:501","hsa:55748","ECrel","compound"
"42","hsa:501","hsa:2628","ECrel","compound"
"43","hsa:6723","hsa:6611","ECrel","compound"
"44","hsa:6723","hsa:112483","ECrel","compound"
"45","hsa:6723","hsa:6303","ECrel","compound"
"46","hsa:6723","hsa:79814","ECrel","compound"
"47","hsa:262","hsa:6723","ECrel","compound"
"48","hsa:6611","hsa:262","ECrel","compound"
"49","hsa:6611","hsa:6723","ECrel","compound"
"50","hsa:112483","hsa:4128","ECrel","compound"
"51","hsa:112483","hsa:4129","ECrel","compound"
"52","hsa:112483","hsa:79814","ECrel","compound"
"53","hsa:6303","hsa:4128","ECrel","compound"
"54","hsa:6303","hsa:4129","ECrel","compound"
"55","hsa:6303","hsa:79814","ECrel","compound"
"56","hsa:4128","hsa:217","ECrel","compound"
"57","hsa:4128","hsa:219","ECrel","compound"
"58","hsa:4128","hsa:223","ECrel","compound"
"59","hsa:4128","hsa:224","ECrel","compound"
"60","hsa:4128","hsa:501","ECrel","compound"
"61","hsa:4129","hsa:217","ECrel","compound"
"62","hsa:4129","hsa:219","ECrel","compound"
"63","hsa:4129","hsa:223","ECrel","compound"
"64","hsa:4129","hsa:224","ECrel","compound"
"65","hsa:4129","hsa:501","ECrel","compound"
"66","hsa:57571","hsa:2628","ECrel","compound"
"67","hsa:55748","hsa:2628","ECrel","compound"
"68","hsa:2593","hsa:2628","ECrel","compound"
"69","hsa:2593","hsa:1152","ECrel","compound"
"70","hsa:2593","hsa:1158","ECrel","compound"
"72","hsa:2593","hsa:1160","ECrel","compound"
"75","hsa:84735","hsa:2628","ECrel","compound"
"76","hsa:84735","hsa:217","ECrel","compound"
"77","hsa:84735","hsa:219","ECrel","compound"
"78","hsa:84735","hsa:223","ECrel","compound"
"79","hsa:84735","hsa:224","ECrel","compound"
"80","hsa:84735","hsa:501","ECrel","compound"
"81","hsa:54498","hsa:6723","ECrel","compound"
"85","hsa:4942","hsa:5832","ECrel","compound"
"87","hsa:4942","hsa:4953","ECrel","compound"
"93","hsa:5831","hsa:283208","ECrel","compound"
"94","hsa:5831","hsa:5033","ECrel","compound"
"95","hsa:5831","hsa:8974","ECrel","compound"
"96","hsa:5831","hsa:51056","ECrel","compound"
"107","hsa:5625","hsa:283208","ECrel","compound"
"108","hsa:5625","hsa:5033","ECrel","compound"
"109","hsa:5625","hsa:8974","ECrel","compound"
"110","hsa:5625","hsa:51056","ECrel","compound"
"120","hsa:5832","hsa:5832","ECrel","compound"
"121","hsa:283208","hsa:51056","ECrel","compound"
"123","hsa:283208","hsa:5831","ECrel","compound"
"125","hsa:283208","hsa:58510","ECrel","compound"
"126","hsa:5033","hsa:51056","ECrel","compound"
"128","hsa:5033","hsa:5831","ECrel","compound"
"130","hsa:5033","hsa:58510","ECrel","compound"
"131","hsa:8974","hsa:51056","ECrel","compound"
"133","hsa:8974","hsa:5831","ECrel","compound"
"135","hsa:8974","hsa:58510","ECrel","compound"
"140","hsa:112849","hsa:1610","ECrel","compound"
"141","hsa:4953","hsa:79814","ECrel","compound"
"142","hsa:4953","hsa:6723","ECrel","compound"
"144","hsa:4953","hsa:112483","ECrel","compound"
"145","hsa:4953","hsa:6303","ECrel","compound"
