"","from","to","type","subtype"
"2","hsa:5465","hsa:3157","GErel","expression"
"21","hsa:5465","hsa:3158","GErel","expression"
"3","hsa:5465","hsa:335","GErel","expression"
"4","hsa:5465","hsa:336","GErel","expression"
"5","hsa:5465","hsa:345","GErel","expression"
"6","hsa:5465","hsa:116519","GErel","expression"
"7","hsa:5465","hsa:5360","GErel","expression"
"8","hsa:5465","hsa:10873","GErel","expression"
"9","hsa:5465","hsa:4199","GErel","expression"
"10","hsa:5465","hsa:6319","GErel","expression"
"11","hsa:5465","hsa:79966","GErel","expression"
"12","hsa:5465","hsa:9415","GErel","expression"
"13","hsa:5465","hsa:1581","GErel","expression"
"14","hsa:5465","hsa:1582","GErel","expression"
"15","hsa:5465","hsa:10062","GErel","expression"
"16","hsa:5465","hsa:1622","GErel","expression"
"17","hsa:5465","hsa:2168","GErel","expression"
"18","hsa:5465","hsa:10999","GErel","expression"
"19","hsa:5465","hsa:376497","GErel","expression"
"20","hsa:5465","hsa:4023","GErel","expression"
"211","hsa:5465","hsa:2180","GErel","expression"
"22","hsa:5465","hsa:2181","GErel","expression"
"23","hsa:5465","hsa:2182","GErel","expression"
"24","hsa:5465","hsa:23205","GErel","expression"
"25","hsa:5465","hsa:23305","GErel","expression"
"26","hsa:5465","hsa:51703","GErel","expression"
"27","hsa:5465","hsa:81616","GErel","expression"
"28","hsa:5465","hsa:1962","GErel","expression"
"29","hsa:5465","hsa:30","GErel","expression"
"30","hsa:5465","hsa:6342","GErel","expression"
"31","hsa:5465","hsa:51","GErel","expression"
"32","hsa:5465","hsa:8309","GErel","expression"
"33","hsa:5465","hsa:8310","GErel","expression"
"34","hsa:5465","hsa:126129","GErel","expression"
"35","hsa:5465","hsa:1374","GErel","expression"
"37","hsa:5465","hsa:1376","GErel","expression"
"38","hsa:5465","hsa:34","GErel","expression"
"39","hsa:5465","hsa:51129","GErel","expression"
"40","hsa:5465","hsa:7350","GErel","expression"
"41","hsa:6256","hsa:3157","GErel","expression"
"42","hsa:6256","hsa:3158","GErel","expression"
"43","hsa:6256","hsa:335","GErel","expression"
"44","hsa:6256","hsa:336","GErel","expression"
"45","hsa:6256","hsa:345","GErel","expression"
"46","hsa:6256","hsa:116519","GErel","expression"
"47","hsa:6256","hsa:5360","GErel","expression"
"48","hsa:6256","hsa:10873","GErel","expression"
"49","hsa:6256","hsa:4199","GErel","expression"
"50","hsa:6256","hsa:6319","GErel","expression"
"51","hsa:6256","hsa:79966","GErel","expression"
"52","hsa:6256","hsa:9415","GErel","expression"
"53","hsa:6256","hsa:1581","GErel","expression"
"54","hsa:6256","hsa:1582","GErel","expression"
"55","hsa:6256","hsa:10062","GErel","expression"
"56","hsa:6256","hsa:1622","GErel","expression"
"57","hsa:6256","hsa:2168","GErel","expression"
"58","hsa:6256","hsa:10999","GErel","expression"
"59","hsa:6256","hsa:376497","GErel","expression"
