"","from","to","type","subtype"
"2","hsa:356","hsa:355","PPrel","activation"
"6","hsa:3105","hsa:3811","PPrel","missing interaction"
"8","hsa:3105","hsa:3821","PPrel","missing interaction"
"9","hsa:3105","hsa:3824","PPrel","missing interaction"
"15","hsa:3106","hsa:3811","PPrel","missing interaction"
"17","hsa:3106","hsa:3821","PPrel","missing interaction"
"18","hsa:3106","hsa:3824","PPrel","missing interaction"
"24","hsa:3107","hsa:3811","PPrel","missing interaction"
"26","hsa:3107","hsa:3821","PPrel","missing interaction"
"27","hsa:3107","hsa:3824","PPrel","missing interaction"
"33","hsa:3133","hsa:3811","PPrel","missing interaction"
"35","hsa:3133","hsa:3821","PPrel","missing interaction"
"36","hsa:3133","hsa:3824","PPrel","missing interaction"
"42","hsa:3134","hsa:3811","PPrel","missing interaction"
"44","hsa:3134","hsa:3821","PPrel","missing interaction"
"45","hsa:3134","hsa:3824","PPrel","missing interaction"
"51","hsa:3135","hsa:3811","PPrel","missing interaction"
"53","hsa:3135","hsa:3821","PPrel","missing interaction"
"54","hsa:3135","hsa:3824","PPrel","missing interaction"
"56","hsa:941","hsa:940","PPrel","activation"
"57","hsa:942","hsa:940","PPrel","activation"
