"","from","to","type","subtype"
"8","hsa:3795","hsa:3098","ECrel","compound"
"9","hsa:3795","hsa:3099","ECrel","compound"
"10","hsa:3795","hsa:3101","ECrel","compound"
"11","hsa:3795","hsa:80201","ECrel","compound"
"12","hsa:3795","hsa:226","ECrel","compound"
"13","hsa:3795","hsa:229","ECrel","compound"
"15","hsa:3098","hsa:5207","ECrel","compound"
"16","hsa:3098","hsa:5208","ECrel","compound"
"17","hsa:3098","hsa:5209","ECrel","compound"
"18","hsa:3098","hsa:5210","ECrel","compound"
"20","hsa:3098","hsa:5211","ECrel","compound"
"21","hsa:3098","hsa:5213","ECrel","compound"
"22","hsa:3098","hsa:5214","ECrel","compound"
"23","hsa:3098","hsa:2203","ECrel","compound"
"24","hsa:3098","hsa:8789","ECrel","compound"
"25","hsa:3098","hsa:4351","ECrel","compound"
"26","hsa:3098","hsa:5372","ECrel","compound"
"27","hsa:3098","hsa:5373","ECrel","compound"
"28","hsa:3099","hsa:5207","ECrel","compound"
"29","hsa:3099","hsa:5208","ECrel","compound"
"30","hsa:3099","hsa:5209","ECrel","compound"
"31","hsa:3099","hsa:5210","ECrel","compound"
"33","hsa:3099","hsa:5211","ECrel","compound"
"34","hsa:3099","hsa:5213","ECrel","compound"
"35","hsa:3099","hsa:5214","ECrel","compound"
"36","hsa:3099","hsa:2203","ECrel","compound"
"37","hsa:3099","hsa:8789","ECrel","compound"
"38","hsa:3099","hsa:4351","ECrel","compound"
"39","hsa:3099","hsa:5372","ECrel","compound"
"40","hsa:3099","hsa:5373","ECrel","compound"
"41","hsa:3101","hsa:5207","ECrel","compound"
"42","hsa:3101","hsa:5208","ECrel","compound"
"43","hsa:3101","hsa:5209","ECrel","compound"
"44","hsa:3101","hsa:5210","ECrel","compound"
"46","hsa:3101","hsa:5211","ECrel","compound"
"47","hsa:3101","hsa:5213","ECrel","compound"
"48","hsa:3101","hsa:5214","ECrel","compound"
"49","hsa:3101","hsa:2203","ECrel","compound"
"50","hsa:3101","hsa:8789","ECrel","compound"
"51","hsa:3101","hsa:4351","ECrel","compound"
"52","hsa:3101","hsa:5372","ECrel","compound"
"53","hsa:3101","hsa:5373","ECrel","compound"
"54","hsa:80201","hsa:5207","ECrel","compound"
"55","hsa:80201","hsa:5208","ECrel","compound"
"56","hsa:80201","hsa:5209","ECrel","compound"
"57","hsa:80201","hsa:5210","ECrel","compound"
"59","hsa:80201","hsa:5211","ECrel","compound"
"60","hsa:80201","hsa:5213","ECrel","compound"
"61","hsa:80201","hsa:5214","ECrel","compound"
"62","hsa:80201","hsa:2203","ECrel","compound"
"63","hsa:80201","hsa:8789","ECrel","compound"
"64","hsa:80201","hsa:4351","ECrel","compound"
"65","hsa:80201","hsa:5372","ECrel","compound"
"66","hsa:80201","hsa:5373","ECrel","compound"
"67","hsa:5207","hsa:5211","ECrel","compound"
"68","hsa:5207","hsa:5213","ECrel","compound"
"69","hsa:5207","hsa:5214","ECrel","compound"
"70","hsa:5207","hsa:2203","ECrel","compound"
"71","hsa:5207","hsa:8789","ECrel","compound"
"72","hsa:5207","hsa:4351","ECrel","compound"
"73","hsa:5208","hsa:5211","ECrel","compound"
"74","hsa:5208","hsa:5213","ECrel","compound"
"75","hsa:5208","hsa:5214","ECrel","compound"
"76","hsa:5208","hsa:2203","ECrel","compound"
"77","hsa:5208","hsa:8789","ECrel","compound"
"78","hsa:5208","hsa:4351","ECrel","compound"
"79","hsa:5209","hsa:5211","ECrel","compound"
"80","hsa:5209","hsa:5213","ECrel","compound"
"81","hsa:5209","hsa:5214","ECrel","compound"
"82","hsa:5209","hsa:2203","ECrel","compound"
"83","hsa:5209","hsa:8789","ECrel","compound"
"84","hsa:5209","hsa:4351","ECrel","compound"
"85","hsa:5210","hsa:5211","ECrel","compound"
"86","hsa:5210","hsa:5213","ECrel","compound"
"87","hsa:5210","hsa:5214","ECrel","compound"
"88","hsa:5210","hsa:2203","ECrel","compound"
"89","hsa:5210","hsa:8789","ECrel","compound"
"90","hsa:5210","hsa:4351","ECrel","compound"
"97","hsa:4351","hsa:5211","ECrel","compound"
"98","hsa:4351","hsa:5213","ECrel","compound"
"99","hsa:4351","hsa:5214","ECrel","compound"
"100","hsa:4351","hsa:2203","ECrel","compound"
"101","hsa:4351","hsa:8789","ECrel","compound"
"102","hsa:4351","hsa:5372","ECrel","compound"
"103","hsa:4351","hsa:5373","ECrel","compound"
"105","hsa:5372","hsa:29926","ECrel","compound"
"107","hsa:5373","hsa:29926","ECrel","compound"
"112","hsa:2762","hsa:29926","ECrel","compound"
"113","hsa:5211","hsa:226","ECrel","compound"
"114","hsa:5211","hsa:229","ECrel","compound"
"116","hsa:5213","hsa:226","ECrel","compound"
"117","hsa:5213","hsa:229","ECrel","compound"
"119","hsa:5214","hsa:226","ECrel","compound"
"120","hsa:5214","hsa:229","ECrel","compound"
"122","hsa:7167","hsa:226","ECrel","compound"
"123","hsa:7167","hsa:229","ECrel","compound"
"126","hsa:226","hsa:2203","ECrel","compound"
"127","hsa:226","hsa:8789","ECrel","compound"
"129","hsa:229","hsa:2203","ECrel","compound"
"130","hsa:229","hsa:8789","ECrel","compound"
