"","from","to","type","subtype"
"2","hsa:35","hsa:1892","ECrel","compound"
"21","hsa:35","hsa:1962","ECrel","compound"
"3","hsa:35","hsa:3030","ECrel","compound"
"4","hsa:35","hsa:2639","ECrel","compound"
"5","hsa:35","hsa:38","ECrel","compound"
"6","hsa:35","hsa:39","ECrel","compound"
"8","hsa:35","hsa:30","ECrel","compound"
"9","hsa:35","hsa:3032","ECrel","compound"
"10","hsa:1962","hsa:1892","ECrel","compound"
"11","hsa:1962","hsa:1962","ECrel","compound"
"12","hsa:1962","hsa:3030","ECrel","compound"
"13","hsa:1962","hsa:34","ECrel","compound"
"14","hsa:1962","hsa:2639","ECrel","compound"
"15","hsa:1962","hsa:35","ECrel","compound"
"16","hsa:1962","hsa:33","ECrel","compound"
"17","hsa:1962","hsa:3033","ECrel","compound"
"18","hsa:1962","hsa:51","ECrel","compound"
"19","hsa:1962","hsa:8310","ECrel","compound"
"20","hsa:1962","hsa:37","ECrel","compound"
"211","hsa:1962","hsa:36","ECrel","compound"
"22","hsa:3033","hsa:1892","ECrel","compound"
"23","hsa:3033","hsa:1962","ECrel","compound"
"24","hsa:3033","hsa:3030","ECrel","compound"
"25","hsa:1892","hsa:34","ECrel","compound"
"26","hsa:1892","hsa:2639","ECrel","compound"
"27","hsa:1892","hsa:3030","ECrel","compound"
"28","hsa:1892","hsa:35","ECrel","compound"
"29","hsa:1892","hsa:33","ECrel","compound"
"30","hsa:1892","hsa:1962","ECrel","compound"
"31","hsa:1892","hsa:3033","ECrel","compound"
"32","hsa:1892","hsa:51","ECrel","compound"
"33","hsa:1892","hsa:8310","ECrel","compound"
"34","hsa:1892","hsa:37","ECrel","compound"
"35","hsa:1892","hsa:36","ECrel","compound"
"36","hsa:3030","hsa:34","ECrel","compound"
"37","hsa:3030","hsa:2639","ECrel","compound"
"38","hsa:3030","hsa:3030","ECrel","compound"
"39","hsa:3030","hsa:35","ECrel","compound"
"40","hsa:3030","hsa:33","ECrel","compound"
"41","hsa:3030","hsa:1962","ECrel","compound"
"42","hsa:3030","hsa:3033","ECrel","compound"
"43","hsa:3030","hsa:51","ECrel","compound"
"44","hsa:3030","hsa:8310","ECrel","compound"
