"","from","to","type","subtype"
"2","hsa:55349","hsa:501","ECrel","compound"
"21","hsa:501","hsa:635","ECrel","compound"
"3","hsa:635","hsa:29958","ECrel","compound"
"4","hsa:189","hsa:9380","ECrel","compound"
"6","hsa:189","hsa:875","ECrel","compound"
"7","hsa:189","hsa:189","ECrel","compound"
"8","hsa:189","hsa:6470","ECrel","compound"
"9","hsa:189","hsa:6472","ECrel","compound"
"10","hsa:189","hsa:10993","ECrel","compound"
"11","hsa:189","hsa:113675","ECrel","compound"
"12","hsa:189","hsa:5723","ECrel","compound"
"13","hsa:189","hsa:2628","ECrel","compound"
"14","hsa:189","hsa:63826","ECrel","compound"
"15","hsa:189","hsa:51268","ECrel","compound"
"16","hsa:189","hsa:1757","ECrel","compound"
"17","hsa:189","hsa:27232","ECrel","compound"
"18","hsa:189","hsa:23464","ECrel","compound"
"19","hsa:189","hsa:211","ECrel","compound"
"20","hsa:189","hsa:212","ECrel","compound"
"211","hsa:189","hsa:2731","ECrel","compound"
"22","hsa:189","hsa:1610","ECrel","compound"
"23","hsa:2593","hsa:2628","ECrel","compound"
"24","hsa:26227","hsa:29968","ECrel","compound"
"25","hsa:26227","hsa:441531","ECrel","compound"
"27","hsa:26227","hsa:5224","ECrel","compound"
"28","hsa:26227","hsa:669","ECrel","compound"
"29","hsa:29958","hsa:51268","ECrel","compound"
"30","hsa:29958","hsa:1757","ECrel","compound"
"31","hsa:29958","hsa:27232","ECrel","compound"
"40","hsa:875","hsa:6470","ECrel","compound"
"41","hsa:875","hsa:6472","ECrel","compound"
"42","hsa:875","hsa:10993","ECrel","compound"
"43","hsa:875","hsa:113675","ECrel","compound"
"44","hsa:875","hsa:5723","ECrel","compound"
"45","hsa:875","hsa:1491","ECrel","compound"
"46","hsa:875","hsa:63826","ECrel","compound"
"47","hsa:875","hsa:189","ECrel","compound"
"48","hsa:2628","hsa:51268","ECrel","compound"
"49","hsa:2628","hsa:1757","ECrel","compound"
"50","hsa:2628","hsa:27232","ECrel","compound"
"51","hsa:2628","hsa:23464","ECrel","compound"
"52","hsa:2628","hsa:211","ECrel","compound"
"53","hsa:2628","hsa:212","ECrel","compound"
"54","hsa:2628","hsa:2731","ECrel","compound"
"55","hsa:2628","hsa:1610","ECrel","compound"
"56","hsa:29968","hsa:5723","ECrel","compound"
"57","hsa:51268","hsa:23464","ECrel","compound"
"58","hsa:51268","hsa:211","ECrel","compound"
"59","hsa:51268","hsa:212","ECrel","compound"
"60","hsa:51268","hsa:2731","ECrel","compound"
"61","hsa:51268","hsa:1610","ECrel","compound"
"62","hsa:1757","hsa:23464","ECrel","compound"
"63","hsa:1757","hsa:211","ECrel","compound"
"64","hsa:1757","hsa:212","ECrel","compound"
"65","hsa:1757","hsa:2731","ECrel","compound"
"66","hsa:1757","hsa:1610","ECrel","compound"
"67","hsa:5723","hsa:6470","ECrel","compound"
"68","hsa:5723","hsa:6472","ECrel","compound"
"69","hsa:5723","hsa:10993","ECrel","compound"
"70","hsa:5723","hsa:113675","ECrel","compound"
"71","hsa:5723","hsa:63826","ECrel","compound"
"72","hsa:6470","hsa:10993","ECrel","compound"
"73","hsa:6470","hsa:113675","ECrel","compound"
"74","hsa:6470","hsa:275","ECrel","compound"
"75","hsa:6470","hsa:63826","ECrel","compound"
"76","hsa:6470","hsa:2628","ECrel","compound"
"77","hsa:6470","hsa:51268","ECrel","compound"
"78","hsa:6470","hsa:1757","ECrel","compound"
"79","hsa:6470","hsa:27232","ECrel","compound"
"80","hsa:6470","hsa:23464","ECrel","compound"
"81","hsa:6470","hsa:211","ECrel","compound"
"82","hsa:6470","hsa:212","ECrel","compound"
"83","hsa:6470","hsa:2731","ECrel","compound"
"84","hsa:6470","hsa:1610","ECrel","compound"
"85","hsa:6470","hsa:189","ECrel","compound"
"86","hsa:6472","hsa:10993","ECrel","compound"
"87","hsa:6472","hsa:113675","ECrel","compound"
"88","hsa:6472","hsa:275","ECrel","compound"
"89","hsa:6472","hsa:63826","ECrel","compound"
"90","hsa:6472","hsa:2628","ECrel","compound"
"91","hsa:6472","hsa:51268","ECrel","compound"
"92","hsa:6472","hsa:1757","ECrel","compound"
"93","hsa:6472","hsa:27232","ECrel","compound"
"94","hsa:6472","hsa:23464","ECrel","compound"
"95","hsa:6472","hsa:211","ECrel","compound"
"96","hsa:6472","hsa:212","ECrel","compound"
"97","hsa:6472","hsa:2731","ECrel","compound"
"98","hsa:6472","hsa:1610","ECrel","compound"
"99","hsa:6472","hsa:189","ECrel","compound"
"100","hsa:10993","hsa:63826","ECrel","compound"
"101","hsa:10993","hsa:189","ECrel","compound"
"102","hsa:113675","hsa:63826","ECrel","compound"
"103","hsa:113675","hsa:189","ECrel","compound"
"104","hsa:23464","hsa:211","ECrel","compound"
"105","hsa:23464","hsa:212","ECrel","compound"
"106","hsa:23464","hsa:2731","ECrel","compound"
"107","hsa:23464","hsa:1610","ECrel","compound"
"108","hsa:2731","hsa:1738","ECrel","compound"
"109","hsa:2731","hsa:1610","ECrel","compound"
"110","hsa:2731","hsa:275","ECrel","compound"
"111","hsa:211","hsa:2731","ECrel","compound"
"112","hsa:211","hsa:1610","ECrel","compound"
"113","hsa:212","hsa:2731","ECrel","compound"
"114","hsa:212","hsa:1610","ECrel","compound"
"115","hsa:9380","hsa:132158","ECrel","compound"
"116","hsa:275","hsa:1738","ECrel","compound"
"117","hsa:27232","hsa:23464","ECrel","compound"
"118","hsa:27232","hsa:211","ECrel","compound"
"119","hsa:27232","hsa:212","ECrel","compound"
"120","hsa:27232","hsa:2731","ECrel","compound"
"121","hsa:27232","hsa:1610","ECrel","compound"
"122","hsa:64902","hsa:6470","ECrel","compound"
"123","hsa:64902","hsa:6472","ECrel","compound"
"124","hsa:64902","hsa:189","ECrel","compound"
"125","hsa:64902","hsa:2628","ECrel","compound"
"126","hsa:64902","hsa:51268","ECrel","compound"
"127","hsa:64902","hsa:1757","ECrel","compound"
"128","hsa:64902","hsa:27232","ECrel","compound"
"129","hsa:64902","hsa:23464","ECrel","compound"
"130","hsa:64902","hsa:211","ECrel","compound"
"131","hsa:64902","hsa:212","ECrel","compound"
"132","hsa:64902","hsa:2731","ECrel","compound"
"133","hsa:132158","hsa:441531","ECrel","compound"
"135","hsa:132158","hsa:5224","ECrel","compound"
"136","hsa:132158","hsa:669","ECrel","compound"
