"","from","to","type","subtype"
"2","hsa:7172","hsa:3251","ECrel","compound"
"21","hsa:7172","hsa:7498","ECrel","compound"
"3","hsa:3251","hsa:7498","ECrel","compound"
"4","hsa:3251","hsa:7172","ECrel","compound"
"5","hsa:3251","hsa:3704","ECrel","compound"
"6","hsa:3251","hsa:3614","ECrel","compound"
"7","hsa:3251","hsa:3615","ECrel","compound"
"10","hsa:3704","hsa:3614","ECrel","compound"
"11","hsa:3704","hsa:3615","ECrel","compound"
"12","hsa:3704","hsa:7172","ECrel","compound"
"14","hsa:10","hsa:1571","ECrel","compound"
"16","hsa:9","hsa:1571","ECrel","compound"
"17","hsa:151531","hsa:1890","ECrel","compound"
"18","hsa:151531","hsa:54963","ECrel","compound"
"19","hsa:151531","hsa:7371","ECrel","compound"
"20","hsa:151531","hsa:83549","ECrel","compound"
"211","hsa:7378","hsa:1890","ECrel","compound"
"22","hsa:7378","hsa:54963","ECrel","compound"
"23","hsa:7378","hsa:7371","ECrel","compound"
"24","hsa:7378","hsa:83549","ECrel","compound"
"25","hsa:1890","hsa:7083","ECrel","compound"
"29","hsa:1890","hsa:1806","ECrel","compound"
"30","hsa:1890","hsa:7372","ECrel","compound"
"31","hsa:1890","hsa:151531","ECrel","compound"
"32","hsa:1890","hsa:7378","ECrel","compound"
"33","hsa:1806","hsa:7372","ECrel","compound"
"34","hsa:1806","hsa:151531","ECrel","compound"
"35","hsa:1806","hsa:7378","ECrel","compound"
"36","hsa:1806","hsa:1890","ECrel","compound"
"39","hsa:7372","hsa:151531","ECrel","compound"
"40","hsa:7372","hsa:7378","ECrel","compound"
"41","hsa:7372","hsa:1890","ECrel","compound"
"42","hsa:54963","hsa:7372","ECrel","compound"
"43","hsa:7371","hsa:7372","ECrel","compound"
"44","hsa:83549","hsa:7372","ECrel","compound"
"45","hsa:7083","hsa:51727","ECrel","compound"
"46","hsa:7083","hsa:1854","ECrel","compound"
"49","hsa:3614","hsa:7172","ECrel","compound"
"51","hsa:3615","hsa:7172","ECrel","compound"
"53","hsa:978","hsa:1890","ECrel","compound"
"79","hsa:8824","hsa:978","ECrel","compound"
"80","hsa:8824","hsa:10720","ECrel","compound"
"81","hsa:8824","hsa:10941","ECrel","compound"
"82","hsa:8824","hsa:54490","ECrel","compound"
"93","hsa:8824","hsa:7363","ECrel","compound"
"94","hsa:8824","hsa:7364","ECrel","compound"
"95","hsa:8824","hsa:7365","ECrel","compound"
"96","hsa:8824","hsa:7366","ECrel","compound"
"97","hsa:8824","hsa:7367","ECrel","compound"
"98","hsa:8824","hsa:79799","ECrel","compound"
"99","hsa:8824","hsa:2990","ECrel","compound"
"100","hsa:10720","hsa:2990","ECrel","compound"
"101","hsa:10941","hsa:2990","ECrel","compound"
"102","hsa:54490","hsa:2990","ECrel","compound"
"113","hsa:7363","hsa:2990","ECrel","compound"
"114","hsa:7364","hsa:2990","ECrel","compound"
"115","hsa:7365","hsa:2990","ECrel","compound"
"116","hsa:7366","hsa:2990","ECrel","compound"
"117","hsa:7367","hsa:2990","ECrel","compound"
