"","from","to","type","subtype"
"2","hsa:124","hsa:9227","ECrel","compound"
"21","hsa:124","hsa:158835","ECrel","compound"
"3","hsa:124","hsa:8694","ECrel","compound"
"4","hsa:124","hsa:8228","ECrel","compound"
"5","hsa:124","hsa:216","ECrel","compound"
"6","hsa:124","hsa:220","ECrel","compound"
"7","hsa:124","hsa:8854","ECrel","compound"
"8","hsa:124","hsa:316","ECrel","compound"
"9","hsa:124","hsa:339761","ECrel","compound"
"10","hsa:125","hsa:9227","ECrel","compound"
"11","hsa:125","hsa:158835","ECrel","compound"
"12","hsa:125","hsa:8694","ECrel","compound"
"13","hsa:125","hsa:8228","ECrel","compound"
"14","hsa:125","hsa:216","ECrel","compound"
"15","hsa:125","hsa:220","ECrel","compound"
"16","hsa:125","hsa:8854","ECrel","compound"
"17","hsa:125","hsa:316","ECrel","compound"
"18","hsa:125","hsa:339761","ECrel","compound"
"19","hsa:126","hsa:9227","ECrel","compound"
"20","hsa:126","hsa:158835","ECrel","compound"
"211","hsa:126","hsa:8694","ECrel","compound"
"22","hsa:126","hsa:8228","ECrel","compound"
"23","hsa:126","hsa:216","ECrel","compound"
"24","hsa:126","hsa:220","ECrel","compound"
"25","hsa:126","hsa:8854","ECrel","compound"
"26","hsa:126","hsa:316","ECrel","compound"
"27","hsa:126","hsa:339761","ECrel","compound"
"28","hsa:127","hsa:9227","ECrel","compound"
"29","hsa:127","hsa:158835","ECrel","compound"
"30","hsa:127","hsa:8694","ECrel","compound"
"31","hsa:127","hsa:8228","ECrel","compound"
"32","hsa:127","hsa:216","ECrel","compound"
"33","hsa:127","hsa:220","ECrel","compound"
"34","hsa:127","hsa:8854","ECrel","compound"
"35","hsa:127","hsa:316","ECrel","compound"
"36","hsa:127","hsa:339761","ECrel","compound"
"37","hsa:128","hsa:9227","ECrel","compound"
"38","hsa:128","hsa:158835","ECrel","compound"
"39","hsa:128","hsa:8694","ECrel","compound"
"40","hsa:128","hsa:8228","ECrel","compound"
"41","hsa:128","hsa:216","ECrel","compound"
"42","hsa:128","hsa:220","ECrel","compound"
"43","hsa:128","hsa:8854","ECrel","compound"
"44","hsa:128","hsa:316","ECrel","compound"
"45","hsa:128","hsa:339761","ECrel","compound"
"46","hsa:130","hsa:9227","ECrel","compound"
"47","hsa:130","hsa:158835","ECrel","compound"
"48","hsa:130","hsa:8694","ECrel","compound"
"49","hsa:130","hsa:8228","ECrel","compound"
"50","hsa:130","hsa:216","ECrel","compound"
"51","hsa:130","hsa:220","ECrel","compound"
"52","hsa:130","hsa:8854","ECrel","compound"
"53","hsa:130","hsa:316","ECrel","compound"
"54","hsa:130","hsa:339761","ECrel","compound"
"55","hsa:131","hsa:9227","ECrel","compound"
"56","hsa:131","hsa:158835","ECrel","compound"
"57","hsa:131","hsa:8694","ECrel","compound"
"58","hsa:131","hsa:8228","ECrel","compound"
"59","hsa:131","hsa:216","ECrel","compound"
"60","hsa:131","hsa:220","ECrel","compound"
"61","hsa:131","hsa:8854","ECrel","compound"
"62","hsa:131","hsa:316","ECrel","compound"
"63","hsa:131","hsa:339761","ECrel","compound"
"85","hsa:216","hsa:1592","ECrel","compound"
"86","hsa:216","hsa:340665","ECrel","compound"
"87","hsa:216","hsa:56603","ECrel","compound"
"88","hsa:216","hsa:1543","ECrel","compound"
"89","hsa:216","hsa:1544","ECrel","compound"
"91","hsa:216","hsa:1551","ECrel","compound"
"92","hsa:216","hsa:1576","ECrel","compound"
"93","hsa:216","hsa:1577","ECrel","compound"
"96","hsa:216","hsa:1555","ECrel","compound"
"97","hsa:216","hsa:1558","ECrel","compound"
"98","hsa:216","hsa:1559","ECrel","compound"
"100","hsa:216","hsa:29785","ECrel","compound"
"101","hsa:216","hsa:10720","ECrel","compound"
"102","hsa:216","hsa:10941","ECrel","compound"
"103","hsa:216","hsa:54490","ECrel","compound"
"114","hsa:216","hsa:7363","ECrel","compound"
"115","hsa:216","hsa:7364","ECrel","compound"
"116","hsa:216","hsa:7365","ECrel","compound"
"117","hsa:216","hsa:7366","ECrel","compound"
"118","hsa:216","hsa:7367","ECrel","compound"
"119","hsa:216","hsa:79799","ECrel","compound"
"120","hsa:216","hsa:54905","ECrel","compound"
"121","hsa:220","hsa:1592","ECrel","compound"
"122","hsa:220","hsa:340665","ECrel","compound"
"123","hsa:220","hsa:56603","ECrel","compound"
"124","hsa:220","hsa:1543","ECrel","compound"
"125","hsa:220","hsa:1544","ECrel","compound"
"127","hsa:220","hsa:1551","ECrel","compound"
"128","hsa:220","hsa:1576","ECrel","compound"
"129","hsa:220","hsa:1577","ECrel","compound"
"132","hsa:220","hsa:1555","ECrel","compound"
"133","hsa:220","hsa:1558","ECrel","compound"
"134","hsa:220","hsa:1559","ECrel","compound"
"136","hsa:220","hsa:29785","ECrel","compound"
"137","hsa:220","hsa:10720","ECrel","compound"
"138","hsa:220","hsa:10941","ECrel","compound"
"139","hsa:220","hsa:54490","ECrel","compound"
"150","hsa:220","hsa:7363","ECrel","compound"
"151","hsa:220","hsa:7364","ECrel","compound"
"152","hsa:220","hsa:7365","ECrel","compound"
"153","hsa:220","hsa:7366","ECrel","compound"
"154","hsa:220","hsa:7367","ECrel","compound"
"155","hsa:220","hsa:79799","ECrel","compound"
"156","hsa:220","hsa:54905","ECrel","compound"
"157","hsa:8854","hsa:1592","ECrel","compound"
"158","hsa:8854","hsa:340665","ECrel","compound"
"159","hsa:8854","hsa:56603","ECrel","compound"
"160","hsa:8854","hsa:1543","ECrel","compound"
"161","hsa:8854","hsa:1544","ECrel","compound"
"163","hsa:8854","hsa:1551","ECrel","compound"
"164","hsa:8854","hsa:1576","ECrel","compound"
"165","hsa:8854","hsa:1577","ECrel","compound"
"168","hsa:8854","hsa:1555","ECrel","compound"
"169","hsa:8854","hsa:1558","ECrel","compound"
"170","hsa:8854","hsa:1559","ECrel","compound"
"172","hsa:8854","hsa:29785","ECrel","compound"
"173","hsa:8854","hsa:10720","ECrel","compound"
"174","hsa:8854","hsa:10941","ECrel","compound"
"175","hsa:8854","hsa:54490","ECrel","compound"
"186","hsa:8854","hsa:7363","ECrel","compound"
"187","hsa:8854","hsa:7364","ECrel","compound"
"188","hsa:8854","hsa:7365","ECrel","compound"
"189","hsa:8854","hsa:7366","ECrel","compound"
"190","hsa:8854","hsa:7367","ECrel","compound"
"191","hsa:8854","hsa:79799","ECrel","compound"
"192","hsa:8854","hsa:54905","ECrel","compound"
"193","hsa:316","hsa:1592","ECrel","compound"
"194","hsa:316","hsa:340665","ECrel","compound"
"195","hsa:316","hsa:56603","ECrel","compound"
"196","hsa:316","hsa:1543","ECrel","compound"
"197","hsa:316","hsa:1544","ECrel","compound"
"199","hsa:316","hsa:1551","ECrel","compound"
"200","hsa:316","hsa:1576","ECrel","compound"
"201","hsa:316","hsa:1577","ECrel","compound"
"204","hsa:316","hsa:1555","ECrel","compound"
"205","hsa:316","hsa:1558","ECrel","compound"
"206","hsa:316","hsa:1559","ECrel","compound"
"208","hsa:316","hsa:29785","ECrel","compound"
"209","hsa:316","hsa:10720","ECrel","compound"
"210","hsa:316","hsa:10941","ECrel","compound"
"2111","hsa:316","hsa:54490","ECrel","compound"
"222","hsa:316","hsa:7363","ECrel","compound"
"223","hsa:316","hsa:7364","ECrel","compound"
"224","hsa:316","hsa:7365","ECrel","compound"
"225","hsa:316","hsa:7366","ECrel","compound"
"226","hsa:316","hsa:7367","ECrel","compound"
"227","hsa:316","hsa:79799","ECrel","compound"
"228","hsa:316","hsa:54905","ECrel","compound"
"229","hsa:9227","hsa:6121","ECrel","compound"
"230","hsa:9227","hsa:157506","ECrel","compound"
"233","hsa:9227","hsa:195814","ECrel","compound"
"235","hsa:9227","hsa:339761","ECrel","compound"
"236","hsa:157506","hsa:9227","ECrel","compound"
"237","hsa:157506","hsa:158835","ECrel","compound"
"238","hsa:157506","hsa:8694","ECrel","compound"
"239","hsa:157506","hsa:8228","ECrel","compound"
"240","hsa:157506","hsa:216","ECrel","compound"
"241","hsa:157506","hsa:220","ECrel","compound"
"242","hsa:157506","hsa:8854","ECrel","compound"
"243","hsa:157506","hsa:316","ECrel","compound"
"244","hsa:157506","hsa:339761","ECrel","compound"
"258","hsa:54884","hsa:1592","ECrel","compound"
"259","hsa:54884","hsa:124","ECrel","compound"
"260","hsa:54884","hsa:125","ECrel","compound"
"261","hsa:54884","hsa:126","ECrel","compound"
"262","hsa:54884","hsa:127","ECrel","compound"
"263","hsa:54884","hsa:128","ECrel","compound"
"264","hsa:54884","hsa:130","ECrel","compound"
"265","hsa:54884","hsa:131","ECrel","compound"
"266","hsa:54884","hsa:112724","ECrel","compound"
"267","hsa:54884","hsa:145226","ECrel","compound"
"268","hsa:54884","hsa:157506","ECrel","compound"
"269","hsa:54884","hsa:50700","ECrel","compound"
"271","hsa:54884","hsa:8608","ECrel","compound"
