"","from","to","type","subtype"
"2","hsa:132430","hsa:10140","PCrel","binding/association"
"21","hsa:132430","hsa:10766","PCrel","binding/association"
"3","hsa:132430","hsa:10950","PCrel","binding/association"
"4","hsa:132430","hsa:54766","PCrel","binding/association"
"6","hsa:132430","hsa:7832","PCrel","binding/association"
"7","hsa:132430","hsa:255967","PCrel","activation"
"8","hsa:132430","hsa:255967","PCrel","binding/association"
"9","hsa:132430","hsa:29883","PCrel","activation"
"10","hsa:132430","hsa:9337","PCrel","activation"
"11","hsa:140886","hsa:10140","PCrel","binding/association"
"12","hsa:140886","hsa:10766","PCrel","binding/association"
"13","hsa:140886","hsa:10950","PCrel","binding/association"
"14","hsa:140886","hsa:54766","PCrel","binding/association"
"16","hsa:140886","hsa:7832","PCrel","binding/association"
"17","hsa:140886","hsa:255967","PCrel","activation"
"18","hsa:140886","hsa:255967","PCrel","binding/association"
"19","hsa:140886","hsa:29883","PCrel","activation"
"20","hsa:140886","hsa:9337","PCrel","activation"
"31","hsa:340529","hsa:10140","PCrel","binding/association"
"32","hsa:340529","hsa:10766","PCrel","binding/association"
"33","hsa:340529","hsa:10950","PCrel","binding/association"
"34","hsa:340529","hsa:54766","PCrel","binding/association"
"36","hsa:340529","hsa:7832","PCrel","binding/association"
"37","hsa:340529","hsa:255967","PCrel","activation"
"38","hsa:340529","hsa:255967","PCrel","binding/association"
"39","hsa:340529","hsa:29883","PCrel","activation"
"40","hsa:340529","hsa:9337","PCrel","activation"
"41","hsa:5042","hsa:10140","PCrel","binding/association"
"42","hsa:5042","hsa:10766","PCrel","binding/association"
"43","hsa:5042","hsa:10950","PCrel","binding/association"
"44","hsa:5042","hsa:54766","PCrel","binding/association"
"46","hsa:5042","hsa:7832","PCrel","binding/association"
"47","hsa:5042","hsa:255967","PCrel","activation"
"48","hsa:5042","hsa:255967","PCrel","binding/association"
"49","hsa:5042","hsa:29883","PCrel","activation"
"50","hsa:5042","hsa:9337","PCrel","activation"
"51","hsa:645974","hsa:10140","PCrel","binding/association"
"52","hsa:645974","hsa:10766","PCrel","binding/association"
"53","hsa:645974","hsa:10950","PCrel","binding/association"
"54","hsa:645974","hsa:54766","PCrel","binding/association"
"56","hsa:645974","hsa:7832","PCrel","binding/association"
"57","hsa:645974","hsa:255967","PCrel","activation"
"58","hsa:645974","hsa:255967","PCrel","binding/association"
"59","hsa:645974","hsa:29883","PCrel","activation"
"60","hsa:645974","hsa:9337","PCrel","activation"
"61","hsa:80336","hsa:10140","PCrel","binding/association"
"62","hsa:80336","hsa:10766","PCrel","binding/association"
"63","hsa:80336","hsa:10950","PCrel","binding/association"
"64","hsa:80336","hsa:54766","PCrel","binding/association"
"66","hsa:80336","hsa:7832","PCrel","binding/association"
"67","hsa:80336","hsa:255967","PCrel","activation"
"68","hsa:80336","hsa:255967","PCrel","binding/association"
"69","hsa:80336","hsa:29883","PCrel","activation"
"70","hsa:80336","hsa:9337","PCrel","activation"
"71","hsa:8761","hsa:10140","PCrel","binding/association"
"72","hsa:8761","hsa:10766","PCrel","binding/association"
"73","hsa:8761","hsa:10950","PCrel","binding/association"
"74","hsa:8761","hsa:54766","PCrel","binding/association"
"76","hsa:8761","hsa:7832","PCrel","binding/association"
"77","hsa:8761","hsa:255967","PCrel","activation"
"78","hsa:8761","hsa:255967","PCrel","binding/association"
"79","hsa:8761","hsa:29883","PCrel","activation"
"80","hsa:8761","hsa:9337","PCrel","activation"
"81","hsa:9924","hsa:255967","PPrel","binding/association"
