"","from","to","type","subtype"
"2","hsa:3565","hsa:3566","PPrel","activation"
"21","hsa:3565","hsa:3561","PPrel","activation"
"3","hsa:3565","hsa:3597","PPrel","activation"
"4","hsa:3565","hsa:3598","PPrel","activation"
"5","hsa:3606","hsa:8807","PPrel","activation"
"6","hsa:3606","hsa:8809","PPrel","activation"
"7","hsa:3553","hsa:7850","PPrel","activation"
"8","hsa:3553","hsa:3556","PPrel","activation"
"9","hsa:3553","hsa:3554","PPrel","activation"
"10","hsa:3552","hsa:7850","PPrel","activation"
"11","hsa:3552","hsa:3556","PPrel","activation"
"12","hsa:3552","hsa:3554","PPrel","activation"
"13","hsa:64806","hsa:55540","PPrel","activation"
"14","hsa:64806","hsa:23765","PPrel","activation"
"15","hsa:27190","hsa:55540","PPrel","activation"
"16","hsa:3605","hsa:23765","PPrel","activation"
"17","hsa:3605","hsa:84818","PPrel","activation"
"18","hsa:8200","hsa:657","PPrel","activation"
"19","hsa:8200","hsa:92","PPrel","activation"
"20","hsa:8200","hsa:93","PPrel","activation"
"211","hsa:8200","hsa:659","PPrel","activation"
"22","hsa:8200","hsa:658","PPrel","activation"
"23","hsa:655","hsa:92","PPrel","activation"
"24","hsa:655","hsa:90","PPrel","activation"
"25","hsa:655","hsa:93","PPrel","activation"
"26","hsa:655","hsa:659","PPrel","activation"
"27","hsa:655","hsa:657","PPrel","activation"
"28","hsa:655","hsa:658","PPrel","activation"
"29","hsa:650","hsa:657","PPrel","activation"
"30","hsa:650","hsa:92","PPrel","activation"
"31","hsa:650","hsa:93","PPrel","activation"
"32","hsa:650","hsa:659","PPrel","activation"
"33","hsa:650","hsa:658","PPrel","activation"
"51","hsa:1896","hsa:10913","PPrel","activation"
"52","hsa:1896","hsa:60401","PPrel","activation"
"53","hsa:10673","hsa:608","PPrel","activation"
"54","hsa:10673","hsa:23495","PPrel","activation"
"55","hsa:10673","hsa:115650","PPrel","activation"
"58","hsa:8995","hsa:8784","PPrel","activation"
"59","hsa:7292","hsa:7293","PPrel","activation"
"60","hsa:8744","hsa:3604","PPrel","activation"
"61","hsa:944","hsa:943","PPrel","activation"
"62","hsa:970","hsa:939","PPrel","activation"
"63","hsa:959","hsa:958","PPrel","activation"
"65","hsa:356","hsa:355","PPrel","activation"
"66","hsa:8740","hsa:4055","PPrel","activation"
"67","hsa:8740","hsa:8764","PPrel","activation"
"69","hsa:4050","hsa:4055","PPrel","activation"
"70","hsa:4049","hsa:7132","PPrel","activation"
"71","hsa:4049","hsa:7133","PPrel","activation"
"72","hsa:4049","hsa:4055","PPrel","activation"
"73","hsa:4049","hsa:8764","PPrel","activation"
"74","hsa:55801","hsa:53832","PPrel","activation"
"75","hsa:55801","hsa:3588","PPrel","activation"
"76","hsa:282618","hsa:3588","PPrel","activation"
"77","hsa:282618","hsa:163702","PPrel","activation"
"82","hsa:50616","hsa:3588","PPrel","activation"
"83","hsa:50616","hsa:58985","PPrel","activation"
"84","hsa:11009","hsa:53832","PPrel","activation"
"85","hsa:11009","hsa:53833","PPrel","activation"
"86","hsa:11009","hsa:58985","PPrel","activation"
"87","hsa:50604","hsa:53832","PPrel","activation"
"88","hsa:50604","hsa:53833","PPrel","activation"
"89","hsa:50604","hsa:58985","PPrel","activation"
"90","hsa:29949","hsa:53832","PPrel","activation"
"91","hsa:29949","hsa:53833","PPrel","activation"
"92","hsa:3586","hsa:3588","PPrel","activation"
"93","hsa:3586","hsa:3587","PPrel","activation"
"94","hsa:3458","hsa:3460","PPrel","activation"
"95","hsa:3458","hsa:3459","PPrel","activation"
"99","hsa:56832","hsa:3454","PPrel","activation"
"101","hsa:3467","hsa:3454","PPrel","activation"
"103","hsa:3456","hsa:3454","PPrel","activation"
"107","hsa:3440","hsa:3454","PPrel","activation"
"109","hsa:3441","hsa:3454","PPrel","activation"
"111","hsa:3442","hsa:3454","PPrel","activation"
"113","hsa:3443","hsa:3454","PPrel","activation"
"115","hsa:3444","hsa:3454","PPrel","activation"
"117","hsa:3445","hsa:3454","PPrel","activation"
"119","hsa:3446","hsa:3454","PPrel","activation"
"123","hsa:3448","hsa:3454","PPrel","activation"
"125","hsa:3449","hsa:3454","PPrel","activation"
"129","hsa:3452","hsa:3454","PPrel","activation"
"130","hsa:7066","hsa:4352","PPrel","activation"
"131","hsa:5617","hsa:5618","PPrel","activation"
"132","hsa:1442","hsa:2690","PPrel","activation"
"135","hsa:2689","hsa:2690","PPrel","activation"
"136","hsa:2056","hsa:2057","PPrel","activation"
"137","hsa:85480","hsa:64109","PPrel","activation"
"138","hsa:85480","hsa:3575","PPrel","activation"
"139","hsa:59067","hsa:50615","PPrel","activation"
"140","hsa:59067","hsa:3561","PPrel","activation"
"141","hsa:3600","hsa:3601","PPrel","activation"
"142","hsa:3600","hsa:3561","PPrel","activation"
"143","hsa:3600","hsa:3560","PPrel","activation"
"144","hsa:3578","hsa:3581","PPrel","activation"
"145","hsa:3578","hsa:3561","PPrel","activation"
"146","hsa:3574","hsa:3575","PPrel","activation"
"147","hsa:3574","hsa:3561","PPrel","activation"
"148","hsa:3558","hsa:3561","PPrel","activation"
"149","hsa:3558","hsa:3560","PPrel","activation"
"150","hsa:3558","hsa:3559","PPrel","activation"
"151","hsa:3567","hsa:3568","PPrel","activation"
"152","hsa:3567","hsa:1439","PPrel","activation"
"153","hsa:3562","hsa:3563","PPrel","activation"
"154","hsa:3562","hsa:1439","PPrel","activation"
"155","hsa:1437","hsa:1439","PPrel","activation"
"156","hsa:1437","hsa:1438","PPrel","activation"
"157","hsa:51561","hsa:3594","PPrel","activation"
"158","hsa:51561","hsa:149233","PPrel","activation"
"159","hsa:3592","hsa:3595","PPrel","activation"
