"","from","to","type","subtype"
"2","hsa:56954","hsa:8528","ECrel","compound"
"21","hsa:56954","hsa:259307","ECrel","compound"
"3","hsa:56954","hsa:137362","ECrel","compound"
"4","hsa:56954","hsa:2805","ECrel","compound"
"5","hsa:56954","hsa:2806","ECrel","compound"
"6","hsa:440","hsa:443","ECrel","compound"
"7","hsa:440","hsa:339983","ECrel","compound"
"8","hsa:440","hsa:259307","ECrel","compound"
"9","hsa:440","hsa:137362","ECrel","compound"
"10","hsa:440","hsa:2805","ECrel","compound"
"11","hsa:440","hsa:2806","ECrel","compound"
"12","hsa:80150","hsa:443","ECrel","compound"
"13","hsa:80150","hsa:339983","ECrel","compound"
"14","hsa:80150","hsa:259307","ECrel","compound"
"15","hsa:80150","hsa:137362","ECrel","compound"
"16","hsa:80150","hsa:2805","ECrel","compound"
"17","hsa:80150","hsa:2806","ECrel","compound"
"18","hsa:339983","hsa:259307","ECrel","compound"
"19","hsa:339983","hsa:137362","ECrel","compound"
"20","hsa:339983","hsa:2805","ECrel","compound"
"211","hsa:339983","hsa:2806","ECrel","compound"
"22","hsa:339983","hsa:284716","ECrel","compound"
"23","hsa:339983","hsa:57494","ECrel","compound"
"24","hsa:339983","hsa:2346","ECrel","compound"
"25","hsa:8528","hsa:259307","ECrel","compound"
"26","hsa:8528","hsa:137362","ECrel","compound"
"27","hsa:8528","hsa:2805","ECrel","compound"
"28","hsa:8528","hsa:2806","ECrel","compound"
"31","hsa:445","hsa:790","ECrel","compound"
"32","hsa:445","hsa:440","ECrel","compound"
"33","hsa:445","hsa:80150","ECrel","compound"
"34","hsa:445","hsa:443","ECrel","compound"
"35","hsa:445","hsa:339983","ECrel","compound"
"36","hsa:445","hsa:259307","ECrel","compound"
"37","hsa:445","hsa:137362","ECrel","compound"
"38","hsa:445","hsa:2805","ECrel","compound"
"39","hsa:445","hsa:2806","ECrel","compound"
"40","hsa:445","hsa:435","ECrel","compound"
"61","hsa:435","hsa:158","ECrel","compound"
"62","hsa:790","hsa:2673","ECrel","compound"
"63","hsa:790","hsa:9945","ECrel","compound"
"64","hsa:790","hsa:27165","ECrel","compound"
"65","hsa:790","hsa:2744","ECrel","compound"
"66","hsa:790","hsa:2752","ECrel","compound"
"67","hsa:790","hsa:1373","ECrel","compound"
"68","hsa:790","hsa:440","ECrel","compound"
"69","hsa:790","hsa:80150","ECrel","compound"
"70","hsa:790","hsa:443","ECrel","compound"
"71","hsa:790","hsa:339983","ECrel","compound"
"72","hsa:790","hsa:259307","ECrel","compound"
"73","hsa:790","hsa:137362","ECrel","compound"
"74","hsa:790","hsa:2805","ECrel","compound"
"75","hsa:790","hsa:2806","ECrel","compound"
"76","hsa:7915","hsa:18","ECrel","compound"
"77","hsa:2746","hsa:56954","ECrel","compound"
"78","hsa:2746","hsa:2571","ECrel","compound"
"79","hsa:2746","hsa:2572","ECrel","compound"
"80","hsa:2747","hsa:56954","ECrel","compound"
"81","hsa:2747","hsa:2571","ECrel","compound"
"82","hsa:2747","hsa:2572","ECrel","compound"
"83","hsa:18","hsa:2571","ECrel","compound"
"84","hsa:18","hsa:2572","ECrel","compound"
"85","hsa:2752","hsa:2746","ECrel","compound"
"86","hsa:2752","hsa:2747","ECrel","compound"
"87","hsa:2752","hsa:2571","ECrel","compound"
"88","hsa:2752","hsa:2572","ECrel","compound"
"89","hsa:27165","hsa:2752","ECrel","compound"
"90","hsa:27165","hsa:2746","ECrel","compound"
"91","hsa:27165","hsa:2747","ECrel","compound"
"92","hsa:27165","hsa:2571","ECrel","compound"
"93","hsa:27165","hsa:2572","ECrel","compound"
"94","hsa:2744","hsa:2752","ECrel","compound"
"95","hsa:2744","hsa:2746","ECrel","compound"
"96","hsa:2744","hsa:2747","ECrel","compound"
"97","hsa:2744","hsa:2571","ECrel","compound"
"98","hsa:2744","hsa:2572","ECrel","compound"
"99","hsa:1373","hsa:27165","ECrel","compound"
"100","hsa:1373","hsa:2744","ECrel","compound"
"108","hsa:2673","hsa:27165","ECrel","compound"
"109","hsa:2673","hsa:2744","ECrel","compound"
"110","hsa:2673","hsa:2752","ECrel","compound"
"111","hsa:9945","hsa:27165","ECrel","compound"
"112","hsa:9945","hsa:2744","ECrel","compound"
"113","hsa:9945","hsa:2752","ECrel","compound"
"114","hsa:5471","hsa:790","ECrel","compound"
"115","hsa:5471","hsa:2673","ECrel","compound"
"116","hsa:5471","hsa:9945","ECrel","compound"
"117","hsa:5471","hsa:27165","ECrel","compound"
"118","hsa:5471","hsa:2744","ECrel","compound"
"119","hsa:5471","hsa:2752","ECrel","compound"
"120","hsa:443","hsa:259307","ECrel","compound"
"121","hsa:443","hsa:137362","ECrel","compound"
"122","hsa:443","hsa:2805","ECrel","compound"
"123","hsa:443","hsa:2806","ECrel","compound"
"124","hsa:284716","hsa:443","ECrel","compound"
"125","hsa:284716","hsa:2346","ECrel","compound"
"126","hsa:284716","hsa:284716","ECrel","compound"
"127","hsa:57494","hsa:443","ECrel","compound"
"128","hsa:57494","hsa:2346","ECrel","compound"
"129","hsa:57494","hsa:284716","ECrel","compound"
"130","hsa:2346","hsa:443","ECrel","compound"
"131","hsa:2346","hsa:284716","ECrel","compound"
