"","from","to","type","subtype"
"2","hsa:56898","hsa:3155","ECrel","compound"
"21","hsa:56898","hsa:54511","ECrel","compound"
"3","hsa:56898","hsa:5019","ECrel","compound"
"5","hsa:56898","hsa:65985","ECrel","compound"
"6","hsa:622","hsa:3155","ECrel","compound"
"7","hsa:622","hsa:54511","ECrel","compound"
"8","hsa:622","hsa:5019","ECrel","compound"
"10","hsa:622","hsa:65985","ECrel","compound"
"11","hsa:5019","hsa:38","ECrel","compound"
"12","hsa:5019","hsa:39","ECrel","compound"
"13","hsa:5019","hsa:3157","ECrel","compound"
"14","hsa:5019","hsa:3158","ECrel","compound"
"15","hsa:5019","hsa:1962","ECrel","compound"
"16","hsa:5019","hsa:3033","ECrel","compound"
"17","hsa:5019","hsa:3155","ECrel","compound"
"18","hsa:5019","hsa:54511","ECrel","compound"
"27","hsa:65985","hsa:38","ECrel","compound"
"28","hsa:65985","hsa:39","ECrel","compound"
"29","hsa:65985","hsa:3157","ECrel","compound"
"30","hsa:65985","hsa:3158","ECrel","compound"
"31","hsa:65985","hsa:1962","ECrel","compound"
"32","hsa:65985","hsa:3033","ECrel","compound"
"33","hsa:65985","hsa:3155","ECrel","compound"
"34","hsa:65985","hsa:54511","ECrel","compound"
"35","hsa:3155","hsa:3157","ECrel","compound"
"36","hsa:3155","hsa:3158","ECrel","compound"
"37","hsa:3155","hsa:38","ECrel","compound"
"38","hsa:3155","hsa:39","ECrel","compound"
"39","hsa:54511","hsa:3157","ECrel","compound"
"40","hsa:54511","hsa:3158","ECrel","compound"
"41","hsa:54511","hsa:38","ECrel","compound"
"42","hsa:54511","hsa:39","ECrel","compound"
"43","hsa:3157","hsa:38","ECrel","compound"
"44","hsa:3157","hsa:39","ECrel","compound"
"45","hsa:3157","hsa:1962","ECrel","compound"
"46","hsa:3157","hsa:3033","ECrel","compound"
"47","hsa:3158","hsa:38","ECrel","compound"
"48","hsa:3158","hsa:39","ECrel","compound"
"49","hsa:3158","hsa:1962","ECrel","compound"
"50","hsa:3158","hsa:3033","ECrel","compound"
"51","hsa:38","hsa:1962","ECrel","compound"
"52","hsa:38","hsa:3033","ECrel","compound"
"53","hsa:39","hsa:1962","ECrel","compound"
"54","hsa:39","hsa:3033","ECrel","compound"
"55","hsa:1962","hsa:35","ECrel","compound"
"56","hsa:1962","hsa:1892","ECrel","compound"
"57","hsa:1962","hsa:1962","ECrel","compound"
"58","hsa:1962","hsa:3030","ECrel","compound"
"59","hsa:3033","hsa:1892","ECrel","compound"
"60","hsa:3033","hsa:1962","ECrel","compound"
"61","hsa:3033","hsa:3030","ECrel","compound"
"62","hsa:1892","hsa:35","ECrel","compound"
"63","hsa:3030","hsa:35","ECrel","compound"
"64","hsa:18","hsa:7915","ECrel","compound"
"65","hsa:18","hsa:2571","ECrel","compound"
"66","hsa:18","hsa:2572","ECrel","compound"
"67","hsa:35","hsa:116285","ECrel","compound"
"68","hsa:35","hsa:123876","ECrel","compound"
"70","hsa:35","hsa:341392","ECrel","compound"
"71","hsa:35","hsa:348158","ECrel","compound"
"72","hsa:35","hsa:54988","ECrel","compound"
"73","hsa:35","hsa:6296","ECrel","compound"
