"","from","to","type","subtype"
"2","hsa:35","hsa:1892","ECrel","compound"
"21","hsa:35","hsa:1962","ECrel","compound"
"3","hsa:35","hsa:3030","ECrel","compound"
"4","hsa:1892","hsa:26275","ECrel","compound"
"5","hsa:1892","hsa:51","ECrel","compound"
"6","hsa:1892","hsa:8310","ECrel","compound"
"7","hsa:1962","hsa:26275","ECrel","compound"
"8","hsa:1962","hsa:51","ECrel","compound"
"9","hsa:1962","hsa:8310","ECrel","compound"
"10","hsa:3030","hsa:26275","ECrel","compound"
"11","hsa:3030","hsa:51","ECrel","compound"
"12","hsa:3030","hsa:8310","ECrel","compound"
"14","hsa:4329","hsa:18","ECrel","compound"
"15","hsa:18","hsa:51733","ECrel","compound"
"16","hsa:18","hsa:339896","ECrel","compound"
"17","hsa:18","hsa:2571","ECrel","compound"
"18","hsa:18","hsa:2572","ECrel","compound"
"19","hsa:18","hsa:84735","ECrel","compound"
"20","hsa:18","hsa:57571","ECrel","compound"
"211","hsa:18","hsa:217","ECrel","compound"
"22","hsa:18","hsa:219","ECrel","compound"
"23","hsa:18","hsa:223","ECrel","compound"
"24","hsa:18","hsa:224","ECrel","compound"
"25","hsa:18","hsa:501","ECrel","compound"
"26","hsa:18","hsa:55748","ECrel","compound"
"27","hsa:57571","hsa:51733","ECrel","compound"
"28","hsa:57571","hsa:339896","ECrel","compound"
"29","hsa:57571","hsa:2571","ECrel","compound"
"30","hsa:57571","hsa:2572","ECrel","compound"
"31","hsa:57571","hsa:84735","ECrel","compound"
"32","hsa:57571","hsa:57571","ECrel","compound"
"33","hsa:57571","hsa:217","ECrel","compound"
"34","hsa:57571","hsa:219","ECrel","compound"
"35","hsa:57571","hsa:223","ECrel","compound"
"36","hsa:57571","hsa:224","ECrel","compound"
"37","hsa:57571","hsa:501","ECrel","compound"
"38","hsa:57571","hsa:55748","ECrel","compound"
"39","hsa:2571","hsa:51733","ECrel","compound"
"40","hsa:2571","hsa:84735","ECrel","compound"
"41","hsa:2571","hsa:57571","ECrel","compound"
"42","hsa:2571","hsa:217","ECrel","compound"
"43","hsa:2571","hsa:219","ECrel","compound"
"44","hsa:2571","hsa:223","ECrel","compound"
