"","from","to","type","subtype"
"2","hsa:10841","hsa:6470","ECrel","compound"
"21","hsa:10841","hsa:6472","ECrel","compound"
"3","hsa:10841","hsa:275","ECrel","compound"
"4","hsa:10841","hsa:10840","ECrel","compound"
"5","hsa:10841","hsa:160428","ECrel","compound"
"6","hsa:10841","hsa:123263","ECrel","compound"
"7","hsa:10841","hsa:2618","ECrel","compound"
"8","hsa:10841","hsa:10841","ECrel","compound"
"9","hsa:10841","hsa:4548","ECrel","compound"
"10","hsa:2618","hsa:10841","ECrel","compound"
"11","hsa:2618","hsa:6470","ECrel","compound"
"12","hsa:2618","hsa:6472","ECrel","compound"
"13","hsa:2618","hsa:275","ECrel","compound"
"14","hsa:2618","hsa:2618","ECrel","compound"
"15","hsa:2618","hsa:4548","ECrel","compound"
"16","hsa:10797","hsa:4524","ECrel","compound"
"17","hsa:10797","hsa:6470","ECrel","compound"
"18","hsa:10797","hsa:6472","ECrel","compound"
"19","hsa:10797","hsa:275","ECrel","compound"
"20","hsa:10797","hsa:25902","ECrel","compound"
"211","hsa:10797","hsa:4522","ECrel","compound"
"22","hsa:10797","hsa:2618","ECrel","compound"
"23","hsa:10797","hsa:471","ECrel","compound"
"24","hsa:10797","hsa:10840","ECrel","compound"
"25","hsa:10797","hsa:160428","ECrel","compound"
"26","hsa:10797","hsa:123263","ECrel","compound"
"29","hsa:10797","hsa:10797","ECrel","compound"
"30","hsa:10797","hsa:441024","ECrel","compound"
"31","hsa:10797","hsa:10841","ECrel","compound"
"32","hsa:441024","hsa:4524","ECrel","compound"
"33","hsa:441024","hsa:6470","ECrel","compound"
"34","hsa:441024","hsa:6472","ECrel","compound"
"35","hsa:441024","hsa:275","ECrel","compound"
"36","hsa:441024","hsa:25902","ECrel","compound"
"37","hsa:441024","hsa:4522","ECrel","compound"
"38","hsa:441024","hsa:2618","ECrel","compound"
"39","hsa:441024","hsa:471","ECrel","compound"
"40","hsa:441024","hsa:10840","ECrel","compound"
"41","hsa:441024","hsa:160428","ECrel","compound"
"42","hsa:441024","hsa:123263","ECrel","compound"
"45","hsa:441024","hsa:10797","ECrel","compound"
"46","hsa:441024","hsa:441024","ECrel","compound"
"47","hsa:441024","hsa:10841","ECrel","compound"
"72","hsa:4524","hsa:4522","ECrel","compound"
"73","hsa:4522","hsa:10841","ECrel","compound"
"74","hsa:4522","hsa:6470","ECrel","compound"
"75","hsa:4522","hsa:6472","ECrel","compound"
"76","hsa:4522","hsa:275","ECrel","compound"
"77","hsa:4522","hsa:2618","ECrel","compound"
"78","hsa:4522","hsa:4548","ECrel","compound"
"79","hsa:4522","hsa:25902","ECrel","compound"
"80","hsa:4522","hsa:4522","ECrel","compound"
"81","hsa:4522","hsa:471","ECrel","compound"
"82","hsa:4522","hsa:10840","ECrel","compound"
"83","hsa:4522","hsa:160428","ECrel","compound"
"84","hsa:4522","hsa:123263","ECrel","compound"
"87","hsa:4522","hsa:10797","ECrel","compound"
"88","hsa:4522","hsa:441024","ECrel","compound"
"99","hsa:275","hsa:4524","ECrel","compound"
"100","hsa:275","hsa:4522","ECrel","compound"
"101","hsa:275","hsa:10841","ECrel","compound"
"102","hsa:275","hsa:10840","ECrel","compound"
"103","hsa:275","hsa:160428","ECrel","compound"
