"","from","to","type","subtype"
"2","hsa:10319","hsa:960","PPrel","activation"
"21","hsa:10319","hsa:22987","PPrel","activation"
"3","hsa:10319","hsa:9899","PPrel","activation"
"4","hsa:10319","hsa:9900","PPrel","activation"
"5","hsa:10319","hsa:3688","PPrel","activation"
"6","hsa:10319","hsa:3672","PPrel","activation"
"7","hsa:10319","hsa:3673","PPrel","activation"
"8","hsa:10319","hsa:3675","PPrel","activation"
"9","hsa:10319","hsa:3655","PPrel","activation"
"10","hsa:10319","hsa:3679","PPrel","activation"
"11","hsa:10319","hsa:3680","PPrel","activation"
"12","hsa:10319","hsa:3696","PPrel","activation"
"13","hsa:10319","hsa:3685","PPrel","activation"
"14","hsa:10319","hsa:3691","PPrel","activation"
"15","hsa:10319","hsa:1605","PPrel","activation"
"16","hsa:22798","hsa:960","PPrel","activation"
"17","hsa:22798","hsa:22987","PPrel","activation"
"18","hsa:22798","hsa:9899","PPrel","activation"
"19","hsa:22798","hsa:9900","PPrel","activation"
"20","hsa:22798","hsa:3688","PPrel","activation"
"211","hsa:22798","hsa:3672","PPrel","activation"
"22","hsa:22798","hsa:3673","PPrel","activation"
"23","hsa:22798","hsa:3675","PPrel","activation"
"24","hsa:22798","hsa:3655","PPrel","activation"
"25","hsa:22798","hsa:3679","PPrel","activation"
"26","hsa:22798","hsa:3680","PPrel","activation"
"27","hsa:22798","hsa:3696","PPrel","activation"
"28","hsa:22798","hsa:3685","PPrel","activation"
"29","hsa:22798","hsa:3691","PPrel","activation"
"30","hsa:22798","hsa:1605","PPrel","activation"
"31","hsa:284217","hsa:960","PPrel","activation"
"32","hsa:284217","hsa:22987","PPrel","activation"
"33","hsa:284217","hsa:9899","PPrel","activation"
"34","hsa:284217","hsa:9900","PPrel","activation"
"35","hsa:284217","hsa:3688","PPrel","activation"
"36","hsa:284217","hsa:3672","PPrel","activation"
"37","hsa:284217","hsa:3673","PPrel","activation"
"38","hsa:284217","hsa:3675","PPrel","activation"
"39","hsa:284217","hsa:3655","PPrel","activation"
"40","hsa:284217","hsa:3679","PPrel","activation"
"41","hsa:284217","hsa:3680","PPrel","activation"
"42","hsa:284217","hsa:3696","PPrel","activation"
"43","hsa:284217","hsa:3685","PPrel","activation"
"44","hsa:284217","hsa:3691","PPrel","activation"
"45","hsa:284217","hsa:1605","PPrel","activation"
"61","hsa:3909","hsa:960","PPrel","activation"
"62","hsa:3909","hsa:22987","PPrel","activation"
"63","hsa:3909","hsa:9899","PPrel","activation"
"64","hsa:3909","hsa:9900","PPrel","activation"
"65","hsa:3909","hsa:3688","PPrel","activation"
"66","hsa:3909","hsa:3672","PPrel","activation"
"67","hsa:3909","hsa:3673","PPrel","activation"
"68","hsa:3909","hsa:3675","PPrel","activation"
"69","hsa:3909","hsa:3655","PPrel","activation"
"70","hsa:3909","hsa:3679","PPrel","activation"
"71","hsa:3909","hsa:3680","PPrel","activation"
"72","hsa:3909","hsa:3696","PPrel","activation"
"73","hsa:3909","hsa:3685","PPrel","activation"
"74","hsa:3909","hsa:3691","PPrel","activation"
"75","hsa:3909","hsa:1605","PPrel","activation"
"76","hsa:3910","hsa:960","PPrel","activation"
"77","hsa:3910","hsa:22987","PPrel","activation"
"78","hsa:3910","hsa:9899","PPrel","activation"
"79","hsa:3910","hsa:9900","PPrel","activation"
"80","hsa:3910","hsa:3688","PPrel","activation"
"81","hsa:3910","hsa:3672","PPrel","activation"
"82","hsa:3910","hsa:3673","PPrel","activation"
"83","hsa:3910","hsa:3675","PPrel","activation"
"84","hsa:3910","hsa:3655","PPrel","activation"
"85","hsa:3910","hsa:3679","PPrel","activation"
"86","hsa:3910","hsa:3680","PPrel","activation"
"87","hsa:3910","hsa:3696","PPrel","activation"
"88","hsa:3910","hsa:3685","PPrel","activation"
"89","hsa:3910","hsa:3691","PPrel","activation"
"90","hsa:3910","hsa:1605","PPrel","activation"
"91","hsa:3911","hsa:960","PPrel","activation"
"92","hsa:3911","hsa:22987","PPrel","activation"
"93","hsa:3911","hsa:9899","PPrel","activation"
