"","from","to","type","subtype"
"2","hsa:2053","hsa:1555","ECrel","compound"
"21","hsa:2053","hsa:1573","ECrel","compound"
"3","hsa:2053","hsa:1559","ECrel","compound"
"4","hsa:2053","hsa:1558","ECrel","compound"
"7","hsa:1555","hsa:123745","ECrel","compound"
"8","hsa:1555","hsa:151056","ECrel","compound"
"9","hsa:1555","hsa:255189","ECrel","compound"
"10","hsa:1555","hsa:26279","ECrel","compound"
"11","hsa:1555","hsa:283748","ECrel","compound"
"12","hsa:1555","hsa:30814","ECrel","compound"
"13","hsa:1555","hsa:391013","ECrel","compound"
"14","hsa:1555","hsa:50487","ECrel","compound"
"15","hsa:1555","hsa:5319","ECrel","compound"
"16","hsa:1555","hsa:5320","ECrel","compound"
"17","hsa:1555","hsa:5321","ECrel","compound"
"18","hsa:1555","hsa:5322","ECrel","compound"
"19","hsa:1555","hsa:64600","ECrel","compound"
"20","hsa:1555","hsa:81579","ECrel","compound"
"211","hsa:1555","hsa:8398","ECrel","compound"
"22","hsa:1555","hsa:8399","ECrel","compound"
"23","hsa:1555","hsa:84647","ECrel","compound"
"24","hsa:1555","hsa:8605","ECrel","compound"
"26","hsa:1555","hsa:113612","ECrel","compound"
"27","hsa:1555","hsa:4051","ECrel","compound"
"28","hsa:1555","hsa:8529","ECrel","compound"
"29","hsa:1555","hsa:240","ECrel","compound"
"30","hsa:1555","hsa:5742","ECrel","compound"
"31","hsa:1555","hsa:5743","ECrel","compound"
"32","hsa:1555","hsa:246","ECrel","compound"
"33","hsa:1555","hsa:247","ECrel","compound"
"34","hsa:1555","hsa:239","ECrel","compound"
"35","hsa:1555","hsa:242","ECrel","compound"
"36","hsa:1555","hsa:1571","ECrel","compound"
"37","hsa:1555","hsa:1573","ECrel","compound"
"38","hsa:1573","hsa:246","ECrel","compound"
"39","hsa:1573","hsa:247","ECrel","compound"
"40","hsa:1573","hsa:257202","ECrel","compound"
"41","hsa:1573","hsa:2876","ECrel","compound"
"42","hsa:1573","hsa:2877","ECrel","compound"
