"","from","to","type","subtype"
"2","hsa:5728","hsa:200576","ECrel","compound"
"21","hsa:5728","hsa:113026","ECrel","compound"
"3","hsa:5728","hsa:23236","ECrel","compound"
"4","hsa:5728","hsa:51196","ECrel","compound"
"5","hsa:5728","hsa:5330","ECrel","compound"
"6","hsa:5728","hsa:5331","ECrel","compound"
"7","hsa:5728","hsa:5332","ECrel","compound"
"8","hsa:5728","hsa:5333","ECrel","compound"
"9","hsa:5728","hsa:5335","ECrel","compound"
"10","hsa:5728","hsa:5336","ECrel","compound"
"11","hsa:5728","hsa:84812","ECrel","compound"
"12","hsa:5728","hsa:89869","ECrel","compound"
"13","hsa:5728","hsa:5286","ECrel","compound"
"14","hsa:5728","hsa:5287","ECrel","compound"
"15","hsa:5728","hsa:5288","ECrel","compound"
"16","hsa:5728","hsa:5295","ECrel","compound"
"17","hsa:5728","hsa:5296","ECrel","compound"
"18","hsa:5728","hsa:8503","ECrel","compound"
"19","hsa:5728","hsa:10423","ECrel","compound"
"20","hsa:5728","hsa:3631","ECrel","compound"
"211","hsa:5728","hsa:8821","ECrel","compound"
"22","hsa:5728","hsa:5297","ECrel","compound"
"23","hsa:5728","hsa:5298","ECrel","compound"
"24","hsa:5728","hsa:55300","ECrel","compound"
"25","hsa:5728","hsa:55361","ECrel","compound"
"28","hsa:5728","hsa:5289","ECrel","compound"
"29","hsa:64768","hsa:253430","ECrel","compound"
"30","hsa:113026","hsa:200576","ECrel","compound"
"31","hsa:113026","hsa:5286","ECrel","compound"
"32","hsa:113026","hsa:5287","ECrel","compound"
"33","hsa:113026","hsa:5288","ECrel","compound"
"34","hsa:113026","hsa:5295","ECrel","compound"
"35","hsa:113026","hsa:5296","ECrel","compound"
"36","hsa:113026","hsa:8503","ECrel","compound"
"37","hsa:113026","hsa:4534","ECrel","compound"
"38","hsa:113026","hsa:55613","ECrel","compound"
"39","hsa:113026","hsa:64419","ECrel","compound"
"40","hsa:113026","hsa:8776","ECrel","compound"
"41","hsa:113026","hsa:8897","ECrel","compound"
"42","hsa:113026","hsa:8898","ECrel","compound"
"43","hsa:113026","hsa:9107","ECrel","compound"
"44","hsa:113026","hsa:9108","ECrel","compound"
"45","hsa:113026","hsa:9110","ECrel","compound"
"46","hsa:113026","hsa:10423","ECrel","compound"
"47","hsa:113026","hsa:5305","ECrel","compound"
"48","hsa:113026","hsa:79837","ECrel","compound"
"49","hsa:113026","hsa:8396","ECrel","compound"
