"","from","to","type","subtype"
"2","hsa:5105","hsa:5091","ECrel","compound"
"21","hsa:5105","hsa:4190","ECrel","compound"
"3","hsa:5105","hsa:4191","ECrel","compound"
"4","hsa:5105","hsa:5313","ECrel","compound"
"5","hsa:5105","hsa:5315","ECrel","compound"
"6","hsa:5106","hsa:5091","ECrel","compound"
"7","hsa:5106","hsa:4190","ECrel","compound"
"8","hsa:5106","hsa:4191","ECrel","compound"
"9","hsa:5106","hsa:5313","ECrel","compound"
"10","hsa:5106","hsa:5315","ECrel","compound"
"11","hsa:5313","hsa:160287","ECrel","compound"
"12","hsa:5313","hsa:3939","ECrel","compound"
"13","hsa:5313","hsa:3945","ECrel","compound"
"14","hsa:5313","hsa:3948","ECrel","compound"
"15","hsa:5313","hsa:92483","ECrel","compound"
"16","hsa:5313","hsa:197257","ECrel","compound"
"17","hsa:5313","hsa:5160","ECrel","compound"
"18","hsa:5313","hsa:5161","ECrel","compound"
"19","hsa:5313","hsa:5162","ECrel","compound"
"20","hsa:5313","hsa:5091","ECrel","compound"
"211","hsa:5313","hsa:4200","ECrel","compound"
"22","hsa:5313","hsa:10873","ECrel","compound"
"23","hsa:5313","hsa:4199","ECrel","compound"
"24","hsa:5315","hsa:160287","ECrel","compound"
"25","hsa:5315","hsa:3939","ECrel","compound"
"26","hsa:5315","hsa:3945","ECrel","compound"
"27","hsa:5315","hsa:3948","ECrel","compound"
"28","hsa:5315","hsa:92483","ECrel","compound"
"29","hsa:5315","hsa:197257","ECrel","compound"
"30","hsa:5315","hsa:5160","ECrel","compound"
"31","hsa:5315","hsa:5161","ECrel","compound"
"32","hsa:5315","hsa:5162","ECrel","compound"
"33","hsa:5315","hsa:5091","ECrel","compound"
"34","hsa:5315","hsa:4200","ECrel","compound"
"35","hsa:5315","hsa:10873","ECrel","compound"
"36","hsa:5315","hsa:4199","ECrel","compound"
"37","hsa:2739","hsa:9380","ECrel","compound"
"38","hsa:2739","hsa:3029","ECrel","compound"
"39","hsa:197257","hsa:3029","ECrel","compound"
"40","hsa:197257","hsa:160287","ECrel","compound"
"41","hsa:197257","hsa:3939","ECrel","compound"
"42","hsa:197257","hsa:3945","ECrel","compound"
"43","hsa:197257","hsa:3948","ECrel","compound"
"44","hsa:197257","hsa:92483","ECrel","compound"
"45","hsa:197257","hsa:5160","ECrel","compound"
"46","hsa:197257","hsa:5161","ECrel","compound"
"47","hsa:197257","hsa:5162","ECrel","compound"
"48","hsa:197257","hsa:5091","ECrel","compound"
"49","hsa:197257","hsa:4200","ECrel","compound"
"50","hsa:197257","hsa:10873","ECrel","compound"
"51","hsa:197257","hsa:4199","ECrel","compound"
"52","hsa:5091","hsa:4190","ECrel","compound"
"53","hsa:5091","hsa:4191","ECrel","compound"
"54","hsa:5091","hsa:160287","ECrel","compound"
"55","hsa:5091","hsa:3939","ECrel","compound"
"56","hsa:5091","hsa:3945","ECrel","compound"
"57","hsa:5091","hsa:3948","ECrel","compound"
"58","hsa:5091","hsa:92483","ECrel","compound"
"59","hsa:5091","hsa:5160","ECrel","compound"
"60","hsa:5091","hsa:5161","ECrel","compound"
"61","hsa:5091","hsa:5162","ECrel","compound"
"62","hsa:5091","hsa:4200","ECrel","compound"
"63","hsa:5091","hsa:10873","ECrel","compound"
"64","hsa:5091","hsa:4199","ECrel","compound"
"65","hsa:4200","hsa:4190","ECrel","compound"
"66","hsa:4200","hsa:4191","ECrel","compound"
"67","hsa:4200","hsa:160287","ECrel","compound"
"68","hsa:4200","hsa:3939","ECrel","compound"
"69","hsa:4200","hsa:3945","ECrel","compound"
"70","hsa:4200","hsa:3948","ECrel","compound"
"71","hsa:4200","hsa:92483","ECrel","compound"
"72","hsa:4200","hsa:5160","ECrel","compound"
"73","hsa:4200","hsa:5161","ECrel","compound"
"74","hsa:4200","hsa:5162","ECrel","compound"
"75","hsa:10873","hsa:4190","ECrel","compound"
"76","hsa:10873","hsa:4191","ECrel","compound"
"77","hsa:10873","hsa:160287","ECrel","compound"
"78","hsa:10873","hsa:3939","ECrel","compound"
"79","hsa:10873","hsa:3945","ECrel","compound"
"80","hsa:10873","hsa:3948","ECrel","compound"
"81","hsa:10873","hsa:92483","ECrel","compound"
"82","hsa:10873","hsa:5160","ECrel","compound"
"83","hsa:10873","hsa:5161","ECrel","compound"
"84","hsa:10873","hsa:5162","ECrel","compound"
"85","hsa:4199","hsa:4190","ECrel","compound"
"86","hsa:4199","hsa:4191","ECrel","compound"
"87","hsa:4199","hsa:160287","ECrel","compound"
"88","hsa:4199","hsa:3939","ECrel","compound"
"89","hsa:4199","hsa:3945","ECrel","compound"
"90","hsa:4199","hsa:3948","ECrel","compound"
"91","hsa:4199","hsa:92483","ECrel","compound"
"92","hsa:4199","hsa:5160","ECrel","compound"
"93","hsa:4199","hsa:5161","ECrel","compound"
"94","hsa:4199","hsa:5162","ECrel","compound"
"95","hsa:160287","hsa:5160","ECrel","compound"
"96","hsa:160287","hsa:5161","ECrel","compound"
"97","hsa:160287","hsa:5162","ECrel","compound"
"98","hsa:3939","hsa:5160","ECrel","compound"
"99","hsa:3939","hsa:5161","ECrel","compound"
"100","hsa:3939","hsa:5162","ECrel","compound"
"101","hsa:3945","hsa:5160","ECrel","compound"
"102","hsa:3945","hsa:5161","ECrel","compound"
"103","hsa:3945","hsa:5162","ECrel","compound"
"104","hsa:3948","hsa:5160","ECrel","compound"
"105","hsa:3948","hsa:5161","ECrel","compound"
"106","hsa:3948","hsa:5162","ECrel","compound"
"107","hsa:92483","hsa:5160","ECrel","compound"
"108","hsa:92483","hsa:5161","ECrel","compound"
"109","hsa:92483","hsa:5162","ECrel","compound"
"110","hsa:55902","hsa:97","ECrel","compound"
